smiles,lgHL
O=C(Cc1c(Cl)cccc1Cl)N=C(N)N,1.18
OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,0.785
CC(COc1c(C)cccc1C)N,0.996
Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1)Cl)Cl,4.87
Clc1ccc(cc1)c1ccc(c(c1Cl)Cl)Cl,3.31
Clc1cc(Cl)c(c(c1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl)Cl,4.78
Clc1ccc(c(c1)Cl)c1ccccc1,1.58
Clc1cc(Cl)c(c(c1Cl)c1ccccc1)Cl,3.01
Clc1ccc(c(c1)c1ccccc1)Cl,1.58
Clc1cc(Cl)cc(c1)c1ccccc1,1.08
Clc1ccc(cc1)c1ccccc1Cl,1.64
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,5.11
Clc1cc(Cl)c(cc1c1ccc(c(c1Cl)Cl)Cl)Cl,4.93
Clc1cc(Cl)c(cc1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,5.65
Clc1c(Cl)ccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.36
Clc1cc(Cl)c(c(c1)Cl)c1ccccc1,1.88
Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,3.66
Clc1ccc(c(c1)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.4
Clc1ccc(c(c1)Cl)c1cccc(c1Cl)Cl,3.25
Clc1ccc(c(c1)c1ccccc1Cl)Cl,2.48
Clc1ccc(c(c1)Cl)c1ccccc1Cl,2.18
Clc1cc(Cl)cc(c1)c1ccccc1Cl,2.04
Clc1cccc(c1)c1ccc(c(c1)Cl)Cl,1.76
Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,3.48
Clc1ccc(c(c1)c1c(Cl)ccc(c1Cl)Cl)Cl,3.01
Clc1ccc(c(c1)Cl)c1cc(Cl)c(cc1Cl)Cl,4.48
Clc1ccc(c(c1)c1ccc(c(c1Cl)Cl)Cl)Cl,3.23
Clc1cc(ccc1Cl)c1c(Cl)ccc(c1Cl)Cl,3.16
Clc1cc(Cl)c(cc1c1c(Cl)ccc(c1Cl)Cl)Cl,3.64
Clc1ccc(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,3.48
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,4.55
Clc1ccc(cc1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.36
Clc1ccc(c(c1c1c(Cl)ccc(c1Cl)Cl)Cl)Cl,2.94
Clc1c(Cl)cc(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,3.4
Clc1cccc(c1c1ccccc1Cl)Cl,1.78
Clc1cccc(c1)c1c(Cl)cccc1Cl,2.25
Clc1cccc(c1c1ccc(cc1)Cl)Cl,2.7
Clc1ccccc1c1cccc(c1Cl)Cl,2.7
Clc1ccc(c(c1)c1cccc(c1)Cl)Cl,2.14
Clc1ccc(cc1)c1cccc(c1Cl)Cl,1.5
Clc1cc(ccc1Cl)c1ccccc1Cl,1.97
Clc1cccc(c1)c1cc(Cl)cc(c1)Cl,1.77
Clc1ccc(cc1)c1cc(Cl)cc(c1)Cl,1.78
Clc1ccc(cc1)c1ccc(c(c1)Cl)Cl,1.78
Clc1c(Cl)cccc1c1cccc(c1Cl)Cl,2.96
Clc1ccc(c(c1)Cl)c1c(Cl)cc(cc1Cl)Cl,3.78
Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.39
Clc1cc(Cl)c(c(c1)c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl,4.64
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,4.88
Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.67
Clc1ccc(cc1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.94
Clc1cc(ccc1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.14
Clc1ccc(c(c1)c1cccc(c1Cl)Cl)Cl,2.98
Clc1ccc(c(c1)Cl)c1cc(Cl)ccc1Cl,3.02
Clc1ccc(c(c1)c1c(Cl)cccc1Cl)Cl,2.48
Clc1cc(ccc1Cl)c1cccc(c1Cl)Cl,2.07
Clc1cc(ccc1Cl)c1c(Cl)cccc1Cl,2.94
Clc1c(Cl)cccc1c1c(Cl)cccc1Cl,2.48
Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl,3.78
Clc1cc(Cl)c(c(c1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl)Cl,5.01
Clc1cc(Cl)c(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,5.37
Clc1ccc(cc1)c1c(Cl)ccc(c1Cl)Cl,2.94
Clc1c(Cl)cccc1c1c(Cl)ccc(c1Cl)Cl,3.61
Clc1ccc(c(c1)c1cc(Cl)cc(c1Cl)Cl)Cl,3.61
Clc1ccc(c(c1Cl)Cl)c1cccc(c1Cl)Cl,3.25
Clc1ccc(c(c1)c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl,3.53
Clc1c(Cl)cc(c(c1c1c(Cl)ccc(c1Cl)Cl)Cl)Cl,3.48
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,3.48
Clc1cc(Cl)c(c(c1)c1ccc(c(c1Cl)Cl)Cl)Cl,4.78
Clc1cc(Cl)c(cc1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl,5.13
Clc1cc(Cl)c(cc1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl,4.74
Clc1ccc(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,4.88
Clc1c(Cl)cc(c(c1Cl)c1ccc(c(c1Cl)Cl)Cl)Cl,4.91
Clc1cc(Cl)c(cc1c1cc(Cl)c(c(c1)Cl)Cl)Cl,5.02
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,3.58
Clc1cc(Cl)c(c(c1)c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,5.83
Clc1c(Cl)cc(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,6.31
Clc1cc(Cl)c(cc1c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.48
Clc1ccc(c(c1Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.14
Clc1c(Cl)cc(c(c1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.08
Clc1cccc(c1Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,3.48
Clc1ccc(c(c1)c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,3.78
Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,3.53
Clc1cc(Cl)c(c(c1)c1c(Cl)ccc(c1Cl)Cl)Cl,3.31
c1ccc(cc1)c1ccccc1,0.278
Clc1cccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,3.78
Clc1ccc(c(c1)Cl)c1cccc(c1)Cl,2.16
Clc1cc(Cl)c(c(c1)c1ccccc1)Cl,2.04
Clc1cc(Cl)c(c(c1)Cl)c1c(Cl)cccc1Cl,2.18
Clc1cc(Cl)c(c(c1)Cl)c1ccc(c(c1)Cl)Cl,3.01
Clc1ccc(cc1Cl)c1cc(Cl)c(c(c1)Cl)Cl,4.17
Brc1cc(Br)c(cc1c1cc(Br)c(cc1Br)Br)Br,4.76
Clc1cc(Cl)c(c(c1)Cl)c1ccc(c(c1Cl)Cl)Cl,3.88
Clc1cc(Cl)c(c(c1)Cl)c1cc(Cl)c(c(c1)Cl)Cl,4.94
Clc1cc(Cl)c(c(c1)c1cccc(c1Cl)Cl)Cl,3.78
Clc1ccc(c(c1)c1c(Cl)cc(cc1Cl)Cl)Cl,3.48
Clc1cc(Cl)c(c(c1)Cl)c1cc(Cl)c(cc1Cl)Cl,4.48
Clc1cc(Cl)c(c(c1)Cl)c1ccccc1Cl,2.08
